ref_char,pred_char,count,ref_total,error_rate
s,a,23,5988,0.4
k,l,23,726,3.2
e,s,23,12029,0.2
n,a,22,6573,0.3
v,∅,22,961,2.3
r,i,22,5678,0.4
o,s,22,7389,0.3
f,∅,22,2124,1.0
s,e,21,5988,0.4
i,a,21,6321,0.3
∅,h,21,1,
w,s,21,2262,0.9
k,t,21,726,2.9
h,d,21,5804,0.4
n,h,21,6573,0.3
t,h,21,8617,0.2
r,v,20,5678,0.4
u,i,20,2816,0.7
o,u,20,7389,0.3
i,n,20,6321,0.3
I,∅,20,306,6.5
.,",",20,1326,1.5
k,h,20,726,2.8
w,r,19,2262,0.8
w,n,19,2262,0.8
m,r,19,2183,0.9
r,w,19,5678,0.3
l,h,19,3972,0.5
u,o,19,2816,0.7
h,H,19,5804,0.3
s,S,19,5988,0.3
h,t,18,5804,0.3
w,o,18,2262,0.8
e,i,18,12029,0.1
i,r,18,6321,0.3
i,u,18,6321,0.3
n,e,18,6573,0.3
k,e,17,726,2.3
d,∅,17,4090,0.4
a,n,17,7826,0.2
h,k,17,5804,0.3
",",.,16,1331,1.2
b,∅,16,1466,1.1
C,c,16,141,11.3
s,p,16,5988,0.3
s,g,16,5988,0.3
r,m,16,5678,0.3
e,r,16,12029,0.1
a,c,16,7826,0.2
e,u,16,12029,0.1
h,e,16,5804,0.3
w,m,16,2262,0.7
t,k,16,8617,0.2
W,w,15,122,12.3
r,a,15,5678,0.3
l,b,15,3972,0.4
b,t,15,1466,1.0
H,t,15,196,7.7
∅,g,15,1,
m,w,15,2183,0.7
w,∅,15,2262,0.7
d,c,15,4090,0.4
w,v,15,2262,0.7
t,b,15,8617,0.2
e,l,14,12029,0.1
p,e,14,1632,0.9
y,p,14,1848,0.8
r,u,14,5678,0.2
c,d,14,2327,0.6
g,∅,14,2026,0.7
∅,"""",14,1,
L,l,13,123,10.6
d,t,13,4090,0.3
m,∅,13,2183,0.6
f,l,13,2124,0.6
v,s,13,961,1.4
i,h,13,6321,0.2
r,c,13,5678,0.2
∅,",",13,1,
e,n,13,12029,0.1
h,b,13,5804,0.2
r,l,12,5678,0.2
b,s,12,1466,0.8
w,W,12,2262,0.5
c,r,12,2327,0.5
a,d,12,7826,0.2
o,O,12,7389,0.2
o,r,11,7389,0.1
e,k,11,12029,0.1
f,p,11,2124,0.5
;,",",11,60,18.3
e,c,11,12029,0.1
o,c,11,7389,0.1
a,r,11,7826,0.1
n,i,11,6573,0.2
b,d,11,1466,0.8
s,w,11,5988,0.2
k,∅,11,726,1.5
h,S,11,5804,0.2
n,w,11,6573,0.2
A,a,11,208,5.3
1,∅,11,70,15.7
 ,t,11,23016,0.0
y,∅,11,1848,0.6
u,r,11,2816,0.4
∅,f,10,1,
t,r,10,8617,0.1
s,i,10,5988,0.2
F,f,10,84,11.9
a,s,10,7826,0.1
c,a,10,2327,0.4
∅,#,10,1,
g,p,10,2026,0.5
e,h,10,12029,0.1
r,h,10,5678,0.2
c,C,10,2327,0.4
a,i,10,7826,0.1
t,e,10,8617,0.1
(,∅,10,49,20.4
∅,I,10,1,
e,m,10,12029,0.1
i,o,10,6321,0.2
e,E,10,12029,0.1
g,s,9,2026,0.4
t,T,9,8617,0.1
t,s,9,8617,0.1
h,r,9,5804,0.2
∅,p,9,1,
M,N,9,150,6.0
G,g,9,157,5.7
l,f,9,3972,0.2
A,∅,9,208,4.3
O,o,9,61,14.8
q,g,8,82,9.8
s,y,8,5988,0.1
r,x,8,5678,0.1
f,F,8,2124,0.4
p,∅,8,1632,0.5
u,w,8,2816,0.3
∅,',8,1,
∅,m,8,1,
∅,d,8,1,
E,e,8,82,9.8
m,e,8,2183,0.4
p,g,8,1632,0.5
w,a,8,2262,0.4
v,w,8,961,0.8
i,l,8,6321,0.1
 ,e,8,23016,0.0
b,o,8,1466,0.5
r,z,7,5678,0.1
l,k,7,3972,0.2
d,s,7,4090,0.2
S,t,7,241,2.9
',i,7,429,1.6
o,d,7,7389,0.1
h,f,7,5804,0.1
G,f,7,157,4.5
∅,.,7,1,
B,b,7,195,3.6
G,b,7,157,4.5
.,:,7,1326,0.5
S,∅,7,241,2.9
-,.,7,362,1.9
f,j,7,2124,0.3
u,v,7,2816,0.2
i,t,7,6321,0.1
m,i,7,2183,0.3
n,p,6,6573,0.1
"""",.,6,576,1.0
p,P,6,1632,0.4
H,h,6,196,3.1
c,n,6,2327,0.3
d,b,6,4090,0.1
g,a,6,2026,0.3
 ,i,6,23016,0.0
w,h,6,2262,0.3
c,s,6,2327,0.3
d,a,6,4090,0.1
p,o,6,1632,0.4
c,o,6,2327,0.3
a,w,6,7826,0.1
s,v,6,5988,0.1
:,.,6,29,20.7
w,e,6,2262,0.3
v,u,6,961,0.6
∅,b,6,1,
s,d,6,5988,0.1
T,∅,6,358,1.7
u,h,6,2816,0.2
u,s,6,2816,0.2
"""",s,6,576,1.0
m,p,6,2183,0.3
y,",",6,1848,0.3
l,n,6,3972,0.2
e,t,6,12029,0.0
h,u,6,5804,0.1
o,i,6,7389,0.1
o,n,6,7389,0.1
t,n,5,8617,0.1
y,e,5,1848,0.3
k,u,5,726,0.7
N,M,5,64,7.8
l,M,5,3972,0.1
",",;,5,1331,0.4
k,d,5,726,0.7
x,s,5,175,2.9
k,b,5,726,0.7
∅,v,5,1,
s,l,5,5988,0.1
r,k,5,5678,0.1
A,t,5,208,2.4
d,o,5,4090,0.1
n,o,5,6573,0.1
M,h,5,150,3.3
',r,5,429,1.2
∅,y,5,1,
5,s,5,12,41.7
 ,o,5,23016,0.0
∅,w,5,1,
z,r,5,45,11.1
p,s,5,1632,0.3
t,i,5,8617,0.1
x,r,5,175,2.9
T,C,5,358,1.4
i,m,5,6321,0.1
k,i,5,726,0.7
s,m,5,5988,0.1
x,e,5,175,2.9
-, ,5,362,1.4
v,o,5,961,0.5
A,I,4,208,1.9
l,r,4,3972,0.1
c,u,4,2327,0.2
m,s,4,2183,0.2
z,g,4,45,8.9
b,6,4,1466,0.3
y,r,4,1848,0.2
 ,a,4,23016,0.0
),t,4,48,8.3
l,c,4,3972,0.1
I,l,4,306,1.3
h,a,4,5804,0.1
1,t,4,70,5.7
a,t,4,7826,0.1
k,s,4,726,0.6
:,∅,4,29,13.8
o,0,4,7389,0.1
v,n,4,961,0.4
∅,k,4,1,
-,e,4,362,1.1
-,l,4,362,1.1
y,s,4,1848,0.2
b,k,4,1466,0.3
 ,I,4,23016,0.0
u,l,4,2816,0.1
c, ,4,2327,0.2
M,H,4,150,2.7
l,L,4,3972,0.1
o,l,4,7389,0.1
o,t,4,7389,0.1
i, ,4,6321,0.1
g,q,4,2026,0.2
0,o,4,34,11.8
l,i,4,3972,0.1
t, ,4,8617,0.0
y,Y,4,1848,0.2
?,!,4,94,4.3
g,j,4,2026,0.2
o,g,4,7389,0.1
n,t,4,6573,0.1
r,-,4,5678,0.1
n,N,4,6573,0.1
f,b,4,2124,0.2
J,f,4,65,6.2
e, ,4,12029,0.0
∅,F,4,1,
Y,G,4,61,6.6
s,f,4,5988,0.1
o,w,4,7389,0.1
a,A,4,7826,0.1
k,n,4,726,0.6
L,f,3,123,2.4
M,l,3,150,2.0
 ,r,3,23016,0.0
b,B,3,1466,0.2
T,S,3,358,0.8
e,d,3,12029,0.0
S,B,3,241,1.2
p,f,3,1632,0.2
l,u,3,3972,0.1
D,B,3,92,3.3
',l,3,429,0.7
i,p,3,6321,0.0
b,a,3,1466,0.2
u,d,3,2816,0.1
o,m,3,7389,0.0
K,k,3,19,15.8
d,r,3,4090,0.1
o,#,3,7389,0.0
f,g,3,2124,0.1
l,V,3,3972,0.1
e,w,3,12029,0.0
v,e,3,961,0.3
u, ,3,2816,0.1
P,p,3,109,2.8
j,i,3,98,3.1
C,l,3,141,2.1
P,∅,3,109,2.8
 ,l,3,23016,0.0
B,∅,3,195,1.5
a,h,3,7826,0.0
r,b,3,5678,0.1
M,∅,3,150,2.0
f,h,3,2124,0.1
p,n,3,1632,0.2
y,u,3,1848,0.2
l,p,3,3972,0.1
R,l,3,67,4.5
J,∅,3,65,4.6
T,F,3,358,0.8
l,I,3,3972,0.1
1,l,3,70,4.3
m,a,3,2183,0.1
F,t,3,84,3.6
J,t,3,65,4.6
2,a,3,32,9.4
R,P,3,67,4.5
∅,-,3,1,
a, ,3,7826,0.0
m,h,3,2183,0.1
v,b,3,961,0.3
., ,3,1326,0.2
o,h,3,7389,0.0
y,i,3,1848,0.2
u,c,3,2816,0.1
B,D,3,195,1.5
c,v,3,2327,0.1
k,R,3,726,0.4
H,l,3,196,1.5
o,b,3,7389,0.0
!,?,3,47,6.4
b,S,3,1466,0.2
1,b,3,70,4.3
y,f,3,1848,0.2
I,i,3,306,1.0
s,),3,5988,0.1
k,c,3,726,0.4
t,R,3,8617,0.0
Y,f,3,61,4.9
 ,J,3,23016,0.0
k,f,3,726,0.4
6,b,3,15,20.0
t,A,3,8617,0.0
k,r,3,726,0.4
m,y,3,2183,0.1
 ,n,3,23016,0.0
e,b,3,12029,0.0
P,f,3,109,2.8
v,c,3,961,0.3
y,v,3,1848,0.2
o, ,3,7389,0.0
r, ,3,5678,0.1
 ,;,3,23016,0.0
i,I,3,6321,0.0
w,c,3,2262,0.1
',e,3,429,0.7
i,d,3,6321,0.0
l,s,3,3972,0.1
i,s,3,6321,0.0
t,a,3,8617,0.0
t,m,3,8617,0.0
.,n,3,1326,0.2
a,O,3,7826,0.0
t,N,3,8617,0.0
-,r,3,362,0.8
m,t,3,2183,0.1
S,T,3,241,1.2
.,o,3,1326,0.2
V,N,3,24,12.5
p,r,3,1632,0.2
